,Prev_Team,Prev_Season,Prev_Round,Prev_Opposition,Prev_Margin,Prev_Venue,Prev_Score,Prev_Disposals,Prev_Kicks,Prev_Marks,Prev_Handballs,Prev_Goals,Prev_Hitouts,Prev_Tackles,Prev_Rebound50s,Prev_Inside50s,Prev_Clearances,Prev_Clangers,Prev_ContendedPossessions,Prev_UncontendedPossessions,Prev_ContestedMarks,Prev_MarksInside50,Prev_GoalAssists,Prev_OnePercenters,Prev_cusum_margin,Prev_cusum_Score,Prev_WinLoss,Curr_Round,Curr_Opposition,Curr_Venue,Curr_WinLoss
858,Geelong,2014,1,Adelaide,38,Kardinia Park,119,16.54545455,9.727272727,4.136363636,6.818181818,0.818181818,1.909090909,3.727272727,1.409090909,2.818181818,1.727272727,2,6.772727273,9.909090909,0.590909091,0.590909091,0.5,1.863636364,38,119,W,2,Brisbane Lions,Gabba,W
859,Geelong,2014,2,Brisbane Lions,25,Gabba,93,14.81818182,8.5,3.181818182,6.318181818,0.590909091,2.5,4.136363636,1.318181818,2.409090909,1.772727273,2.181818182,6.954545455,7.772727273,0.227272727,0.590909091,0.409090909,2.727272727,63,212,W,3,Collingwood,M.C.G.,W
860,Geelong,2014,3,Collingwood,11,M.C.G.,87,16.86363636,9.363636364,4.227272727,7.5,0.545454545,1.545454545,2.954545455,1.090909091,2.545454545,1.5,2.409090909,6.272727273,10.63636364,0.409090909,0.681818182,0.409090909,2.136363636,74,299,W,4,West Coast,Kardinia Park,W
861,Geelong,2014,4,West Coast,75,Kardinia Park,107,19.40909091,11.90909091,6.227272727,7.5,0.727272727,1.136363636,3.318181818,1.181818182,2.818181818,1.409090909,2.181818182,6.818181818,12.63636364,0.590909091,0.954545455,0.545454545,2.590909091,149,406,W,5,Hawthorn,M.C.G.,W
862,Geelong,2014,5,Hawthorn,19,M.C.G.,106,14.95454545,8.727272727,3.954545455,6.227272727,0.681818182,1.681818182,2.772727273,1.272727273,2.363636364,1.681818182,2.181818182,6.545454545,8.909090909,0.772727273,0.909090909,0.590909091,1.954545455,168,512,W,6,Port Adelaide,Adelaide Oval,L
863,Geelong,2014,6,Port Adelaide,-40,Adelaide Oval,67,14.95454545,8.636363636,4.045454545,6.318181818,0.409090909,1.409090909,3.272727273,1.318181818,2.227272727,1.454545455,2.090909091,5.772727273,9.454545455,0.727272727,0.681818182,0.272727273,1.954545455,128,579,L,7,Richmond,M.C.G.,W
864,Geelong,2014,7,Richmond,5,M.C.G.,81,15.5,9.909090909,3.681818182,5.590909091,0.5,2.454545455,3.590909091,1.454545455,2.636363636,2,2.136363636,6.363636364,8.954545455,0.363636364,0.227272727,0.136363636,2.181818182,133,660,W,9,Fremantle,Subiaco,L
865,Geelong,2014,9,Fremantle,-32,Subiaco,64,17.40909091,9.181818182,4.772727273,8.227272727,0.409090909,1.5,3.545454545,1.409090909,1.863636364,1.272727273,2,5.409090909,12.04545455,0.181818182,0.409090909,0.318181818,2,101,724,L,10,North Melbourne,Kardinia Park,W
866,Geelong,2014,10,North Melbourne,20,Kardinia Park,111,17.77272727,9.681818182,4.227272727,8.090909091,0.727272727,1.272727273,3.5,1.272727273,2.227272727,1.136363636,1.863636364,6.636363636,11.18181818,0.727272727,0.636363636,0.545454545,2.136363636,121,835,W,11,Sydney,S.C.G.,L
867,Geelong,2014,11,Sydney,-110,S.C.G.,38,16.31818182,7.954545455,3,8.363636364,0.227272727,2.272727273,2.5,1.863636364,2,1.227272727,1.636363636,7.181818182,9.227272727,0.863636364,0.181818182,0.181818182,2.181818182,11,873,L,12,Carlton,Docklands,W
