Season,Team A,Team B,Location,Game A,Game B,Home A,Home B,RatingA,RatingA,Curr_WinLoss
2012,Gold Coast,Fremantle,Metricon Stadium,6,6,1,0,1391.330118,1521.373955,L
2012,Adelaide,Sydney,SCG,6,6,0,1,1558.41167,1619.827181,W
2012,Sydney,Adelaide,SCG,6,6,1,0,1619.827181,1558.41167,L
2012,Hawthorn,St Kilda,MCG,6,6,0,0,1478.129706,1509.302456,W
2012,St Kilda,Hawthorn,MCG,6,6,0,0,1509.302456,1478.129706,L
2012,Carlton,Greater Western Sydney,Etihad Stadium,6,6,1,0,1587.352947,1384.2304,W
2012,Greater Western Sydney,Carlton,Etihad Stadium,6,6,0,1,1384.2304,1587.352947,L
2012,Port Adelaide,Richmond,AAMI Stadium,6,6,1,0,1430.59255,1431.021143,L
2012,Richmond,Port Adelaide,AAMI Stadium,6,6,0,1,1431.021143,1430.59255,W
2012,North Melbourne,West Coast,Patersons Stadium,6,6,0,1,1523.995928,1613.402569,L
2012,West Coast,North Melbourne,Patersons Stadium,6,6,1,0,1613.402569,1523.995928,W
2012,Hawthorn,Melbourne,MCG,7,7,0,0,1507.345843,1366.389182,W
2012,Melbourne,Hawthorn,MCG,7,7,0,0,1366.389182,1507.345843,L
2012,Adelaide,Geelong,AAMI Stadium,7,7,1,0,1595.45219,1545.55809,W
2012,Geelong,Adelaide,AAMI Stadium,7,7,0,1,1545.55809,1595.45219,L
2012,Gold Coast,Greater Western Sydney,Manuka Oval,7,7,0,0,1368.493965,1375.361008,L
2012,Greater Western Sydney,Gold Coast,Manuka Oval,7,7,0,0,1375.361008,1368.493965,W
2012,Richmond,Sydney,MCG,7,7,1,0,1463.73404,1582.786661,W
2012,Sydney,Richmond,MCG,7,7,0,1,1582.786661,1463.73404,L
2012,Brisbane Lions,Collingwood,The Gabba,7,7,1,0,1449.363071,1555.233128,L
2012,Collingwood,Brisbane Lions,The Gabba,7,7,0,1,1555.233128,1449.363071,W
2012,Essendon,West Coast,Etihad Stadium,7,7,1,0,1579.548785,1628.207452,W
2012,West Coast,Essendon,Etihad Stadium,7,7,0,1,1628.207452,1579.548785,L
2012,North Melbourne,Western Bulldogs,Etihad Stadium,7,7,0,0,1509.191046,1454.937121,L
2012,Western Bulldogs,North Melbourne,Etihad Stadium,7,7,0,0,1454.937121,1509.191046,W
2012,Fremantle,Port Adelaide,Patersons Stadium,7,7,1,0,1544.210108,1397.879653,W
2012,Port Adelaide,Fremantle,Patersons Stadium,7,7,0,1,1397.879653,1544.210108,L
2012,Carlton,St Kilda,Etihad Stadium,7,7,0,0,1596.222339,1480.086319,L
2012,St Kilda,Carlton,Etihad Stadium,7,7,0,0,1480.086319,1596.222339,W
2012,Collingwood,Geelong,MCG,8,8,0,0,1579.910048,1528.196095,W
2012,Geelong,Collingwood,MCG,8,8,0,0,1528.196095,1579.910048,L
2012,North Melbourne,Port Adelaide,AAMI Stadium,8,8,0,1,1478.22068,1386.319764,L
2012,Port Adelaide,North Melbourne,AAMI Stadium,8,8,1,0,1386.319764,1478.22068,W
2012,Fremantle,Hawthorn,Aurora Stadium,8,8,0,1,1555.769997,1523.842822,L
